Wings					                1927/1928 	Famous Players–Lasky (Lucien Hubbard, Jesse L. Lasky, B.P. Schulberg, & Adolph Zukor, producers)
Bonnie and Clyde			1967		Warren Beatty
The Graduate				1967		Lawrence Turman
Guess Who's Coming to Dinner		1967		Stanley Kramer
Oliver!					1968		John Woolf
Funny Girl				1968		Ray Stark
The Lion in Winter			1968		Martin Poll
Rachel, Rachel				1968		Paul Newman
Romeo and Juliet			1968		Anthony Havelock-Allan and John Brabourne
Midnight Cowboy				1969		Jerome Hellman
Anne of the Thousand Days		1969		Hal B. Wallis
Butch Cassidy and the Sundance Kid	1969		John Foreman
Hello, Dolly!				1969		Ernest Lehman
Z					1969		Jacques Perrin and Ahmed Rachedi
Patton					1970		Frank McCarthy
Airport					1970		Ross Hunter
Five Easy Pieces			1970		Bob Rafelson and Richard Wechsler
Love Story				1970		Howard G. Minsky
M*A*S*H					1970		Ingo Preminger
A Clockwork Orange			1971		Stanley Kubrick
Fiddler on the Roof			1971		Norman Jewison
The Last Picture Show			1971		Stephen J. Friedman
Nicholas and Alexandra			1971		Sam Spiegel
The Godfather				1972		Albert S. Ruddy
Cabaret					1972		Cy Feuer
Deliverance				1972		John Boorman
The Emigrants				1972		Bengt Forslund
The Sting				1973		Tony Bill, Michael Phillips, and Julia Phillips
American Graffiti			1973		Francis Ford Coppola and Gary Kurtz
Cries and Whispers			1973		Ingmar Bergman
The Exorcist				1973		William Peter Blatty
A Touch of Class			1973		Melvin Frank
The Godfather Part II			1974		Francis Ford Coppola, Gray Frederickson, and Fred Roos
Chinatown				1974		Robert Evans
The Conversation			1974		Francis Ford Coppola
Lenny					1974		Marvin Worth
The Towering Inferno			1974		Irwin Allen
One Flew Over the Cuckoo's Nest		1975		Michael Douglas and Saul Zaentz
Barry Lyndon				1975		Stanley Kubrick
Dog Day Afternoon			1975		Martin Bregman and Martin Elfand
Jaws					1975		Richard D. Zanuck and David Brown
Nashville				1975		Robert Altman
Rocky					1976		Irwin Winkler and Robert Chartoff
All the President's Men			1976		Walter Coblenz
Bound for Glory				1976		Robert F. Blumofe and Harold Leventhal
Network					1976		Howard Gottfried
Taxi Driver				1976		Michael Phillips and Julia Phillips
Annie Hall				1977		Charles H. Joffe
The Goodbye Girl			1977		Ray Stark
Julia					1977		Richard Roth
Star Wars				1977		Gary Kurtz
The Turning Point			1977		Herbert Ross and Arthur Laurents
The Deer Hunter				1978		Barry Spikings, Michael Deeley, Michael Cimino, and John Peverall
